book_id,question_text,option_a,option_b,option_c,option_d,correct_answer,reference
1,"Siapa yang menciptakan langit dan bumi?","Yesus","Adam","Allah","Musa","C","Genesis 1:1"
1,"Apa yang Allah ciptakan pada hari pertama?","Manusia","Cahaya","Binatang","Tumbuhan","B","Genesis 1:3-5"
1,"Berapa hari Allah mengambil untuk menciptakan dunia?","Tujuh hari","Lima hari","Enam hari","Sepuluh hari","C","Genesis 1:31-2:2"
1,"Apa yang Allah ciptakan pada hari keenam?","Tumbuhan","Binatang laut","Manusia","Cahaya","C","Genesis 1:26-31"
1,"Siapa yang menamakan semua binatang?","Hawa","Adam","Nuh","Set","B","Genesis 2:19-20"
1,"Di mana Allah menempatkan Adam setelah menciptakannya?","Taman Eden","Gunung Sinai","Babel","Kanaan","A","Genesis 2:15"
1,"Apa yang Allah larang Adam makan di Taman Eden?","Buah anggur","Buah pengetahuan baik dan jahat","Buah apel","Buah delima","B","Genesis 2:16-17"
1,"Siapa yang diciptakan dari tulang rusuk Adam?","Hawa","Kain","Abel","Set","A","Genesis 2:21-22"
1,"Siapa yang menggoda Hawa untuk makan buah terlarang?","Iblis","Ular","Adam","Kain","B","Genesis 3:1-6"
1,"Apa hukuman Allah kepada ular setelah kejatuhan manusia?","Berjalan dengan kaki","Menjilat debu","Menjadi buta","Kehilangan suara","B","Genesis 3:14"
1,"Apa yang Adam dan Hawa buat setelah makan buah terlarang?","Bersembunyi dari Allah","Menyalahkan satu sama lain","Berdoa kepada Allah","Meninggalkan taman","A","Genesis 3:8"
1,"Siapa anak pertama Adam dan Hawa?","Kain","Abel","Set","Nuh","A","Genesis 4:1"
1,"Apa pekerjaan Kain?","Petani","Penggembala","Tukang kayu","Nelayan","A","Genesis 4:2"
1,"Apa pekerjaan Abel?","Petani","Penggembala","Tukang kayu","Nelayan","B","Genesis 4:2"
1,"Siapa yang membunuh Abel?","Adam","Kain","Set","Nuh","B","Genesis 4:8"
1,"Apa tanda yang Allah berikan kepada Kain setelah dia membunuh Abel?","Tanda di dahi","Tanda di tangan","Tanda di kaki","Tanda di dada","A","Genesis 4:15"
1,"Siapa anak Adam dan Hawa yang menggantikan Abel?","Kain","Set","Nuh","Lamekh","B","Genesis 4:25"
1,"Siapa yang hidup paling lama dalam Kitab Kejadian?","Metusalah","Nuh","Adam","Lamekh","A","Genesis 5:27"
1,"Berapa tahun Metusalah hidup?","969 tahun","777 tahun","500 tahun","120 tahun","A","Genesis 5:27"
1,"Siapa yang ""berjalan bersama Allah"" dan tidak mati tetapi diangkat?","Henokh","Metusalah","Nuh","Lamekh","A","Genesis 5:24"
1,"Siapa bapa kepada Nuh?","Lamekh","Metusalah","Henokh","Set","A","Genesis 5:28-29"
1,"Apa yang Allah perintahkan kepada Nuh untuk membina?","Bahtera","Kuil","Kota","Taman","A","Genesis 6:14"
1,"Berapa lama hujan turun semasa banjir besar?","40 hari 40 malam","7 hari","100 hari","1 tahun","A","Genesis 7:12"
1,"Apa yang Nuh lepaskan untuk melihat jika air telah surut?","Burung merpati","Burung gagak","Kedua-duanya","Tidak ada","C","Genesis 8:6-11"
1,"Apa tanda perjanjian Allah dengan Nuh setelah banjir?","Pelangi","Bintang","Matahari","Bulan","A","Genesis 9:12-17"
1,"Siapa tiga anak Nuh?","Sem, Ham, Yafet","Kain, Abel, Set","Sem, Ham, Kanaan","A","Genesis 9:18"
1,"Apa yang Ham lakukan yang menyebabkan kutukan kepada Kanaan?","Mencuri","Memukul Nuh","Melihat Nuh telanjang","Menipu","C","Genesis 9:22-25"
1,"Apa yang manusia cuba bina untuk mencapai langit?","Menara Babel","Taman Eden","Kuil","Bahtera","A","Genesis 11:4"
1,"Apa yang Allah lakukan untuk menghentikan pembinaan Menara Babel?","Menggantikan pemimpin","Menghancurkan menara","Mengacaukan bahasa","Menghantar banjir","C","Genesis 11:7-9"
1,"Siapa yang dipanggil Allah untuk meninggalkan tanahnya dan pergi ke Kanaan?","Abram","Nuh","Lot","Ishak","A","Genesis 12:1"
1,"Berapa umur Abram ketika dia meninggalkan Haran?","75 tahun","50 tahun","100 tahun","120 tahun","A","Genesis 12:4"
1,"Siapa isteri Abram?","Sarai","Hagar","Keturah","Rebekah","A","Genesis 12:5"
1,"Ke mana Abram pergi semasa kelaparan di Kanaan?","Mesir","Babel","Filistia","Haran","A","Genesis 12:10"
1,"Apa yang Abram katakan tentang Sarai kepada Firaun?","Isterinya","Kakaknya","Anaknya","Ibu mertuanya","B","Genesis 12:13"
1,"Siapa anak saudara Abram yang ikut bersamanya?","Lot","Ishak","Yakub","Esaul","A","Genesis 12:5"
1,"Apa yang menyebabkan Abram dan Lot berpisah?","Pertengkaran antara gembala","Kelaparan","Perang","Banjir","A","Genesis 13:7"
1,"Ke mana Lot memilih untuk tinggal setelah berpisah dengan Abram?","Sodom dan Gomora","Kanaan","Haran","Mesir","A","Genesis 13:10-12"
1,"Apa yang Allah janjikan kepada Abram tentang keturunannya?","Seperti bintang di langit","Seperti batu","Seperti pohon","Seperti sungai","A","Genesis 15:5"
1,"Siapa hamba perempuan Sarai yang diberikan kepada Abram?","Hagar","Keturah","Bilhah","Zilpa","A","Genesis 16:1"
1,"Siapa anak Abram dengan Hagar?","Ishak","Ismael","Yakub","Esaul","B","Genesis 16:15"
1,"Berapa umur Abram ketika Ismael dilahirkan?","86 tahun","75 tahun","100 tahun","120 tahun","A","Genesis 16:16"
1,"Apa nama baru yang Allah berikan kepada Abram?","Abraham","Abimelekh","Ishak","Yakub","A","Genesis 17:5"
1,"Apa nama baru Sarai setelah perjanjian Allah?","Sara","Hagar","Keturah","Rebekah","A","Genesis 17:15"
1,"Apa tanda perjanjian yang Allah perintahkan kepada Abraham?","Sunat","Baptisan","Puasa","Sembahyang","A","Genesis 17:10"
1,"Siapa anak yang Allah janjikan kepada Abraham dan Sara?","Ishak","Ismael","Yakub","Esaul","A","Genesis 17:19"
1,"Berapa umur Abraham ketika Ishak dilahirkan?","100 tahun","86 tahun","120 tahun","75 tahun","A","Genesis 21:5"
1,"Apa yang Abraham lakukan dengan Hagar dan Ismael?","Menyuruh mereka pergi","Mengahwini Hagar","Menghantar mereka ke Mesir","Memberi mereka tanah","A","Genesis 21:14"
1,"Apa yang Allah perintahkan Abraham untuk lakukan dengan Ishak?","Mengorbankannya","Menghantarnya ke Mesir","Memberinya tanah","Menamakan semula","A","Genesis 22:2"
1,"Apa yang Allah sediakan sebagai ganti Ishak untuk korban?","Domba","Biri-biri","Kambing","Lembu","A","Genesis 22:13"
1,"Siapa isteri Ishak?","Rebekah","Rakel","Lea","Bilhah","A","Genesis 24:67"
1,"Siapa yang diutus Abraham untuk mencari isteri bagi Ishak?","Eliezer","Lot","Abimelekh","Laban","A","Genesis 24:2-4"
1,"Di mana Eliezer bertemu dengan Rebekah?","Sumur","Taman","Pasar","Gunung","A","Genesis 24:15"
1,"Siapa bapa kepada Rebekah?","Laban","Betuel","Nahor","Terah","B","Genesis 24:24"
1,"Berapa umur Ishak ketika dia berkahwin dengan Rebekah?","40 tahun","25 tahun","60 tahun","100 tahun","A","Genesis 25:20"
1,"Siapa dua anak Ishak dan Rebekah?","Yakub dan Esaul","Ishak dan Ismael","Set dan Kain","Yosua dan Kaleb","A","Genesis 25:24-26"
1,"Apa yang Esaul jual kepada Yakub untuk semangkuk sup?","Hak kesulungan","Tanah","Harta","Karunia","A","Genesis 25:29-34"
1,"Siapa yang lebih tua antara Yakub dan Esaul?","Esaul","Yakub","Kedua-duanya kembar","Yakub lebih tua","A","Genesis 25:25-26"
1,"Apa yang Yakub gunakan untuk menipu Ishak bagi mendapatkan berkat?","Kulit kambing","Tanah liat","Bulu domba","Daun","C","Genesis 27:16"
1,"Siapa yang membantu Yakub menipu Ishak?","Rebekah","Laban","Lea","Rakel","A","Genesis 27:6-10"
1,"Ke mana Yakub melarikan diri setelah menipu Esaul?","Haran","Mesir","Sodom","Kanaan","A","Genesis 27:43"
1,"Apa yang Yakub lihat dalam mimpinya di Betel?","Tangga ke syurga","Bahtera","Pelangi","Api","A","Genesis 28:12"
1,"Siapa yang Yakub jumpai di Haran?","Laban","Lot","Abimelekh","Eliezer","A","Genesis 29:5"
1,"Siapa dua anak perempuan Laban?","Lea dan Rakel","Hagar dan Keturah","Sara dan Rebekah","Bilhah dan Zilpa","A","Genesis 29:16"
1,"Berapa tahun Yakub bekerja untuk berkahwin dengan Rakel?","7 tahun","14 tahun","3 tahun","20 tahun","B","Genesis 29:20-30"
1,"Siapa isteri pertama Yakub?","Lea","Rakel","Bilhah","Zilpa","A","Genesis 29:23"
1,"Siapa anak pertama Yakub dengan Lea?","Ruben","Yusuf","Benyamin","Dan","A","Genesis 29:32"
1,"Siapa hamba perempuan Rakel yang diberikan kepada Yakub?","Bilhah","Zilpa","Hagar","Keturah","A","Genesis 30:3"
1,"Siapa anak Yakub dengan Bilhah?","Dan","Naphtali","Kedua-duanya","Tidak ada","C","Genesis 30:6-8"
1,"Siapa hamba perempuan Lea yang diberikan kepada Yakub?","Zilpa","Bilhah","Hagar","Keturah","A","Genesis 30:9"
1,"Siapa anak Yakub dengan Zilpa?","Gad","Asyer","Kedua-duanya","Tidak ada","C","Genesis 30:11-13"
1,"Siapa anak Yakub yang paling disayangi?","Yusuf","Benyamin","Ruben","Dan","A","Genesis 37:3"
1,"Apa yang Yakub berikan kepada Yusuf yang menimbulkan iri hati adik-beradiknya?","Jubah berwarna-warni","Cincin","Domba","Tanah","A","Genesis 37:3"
1,"Apa yang adik-beradik Yusuf lakukan kepadanya?","Menjualnya","Membunuhnya","Meninggalkannya di hutan","Memberinya harta","A","Genesis 37:28"
1,"Kepada siapa adik-beradik Yusuf menjualnya?","Orang Mesir","Orang Midian","Orang Filistia","Orang Kanaan","B","Genesis 37:28"
1,"Apa yang Yusuf katakan kepada adik-beradiknya tentang perbuatan mereka?","Allah menghantar saya","Bunuh saya","Kutuk kamu","Tinggalkan saya","A","Genesis 45:5"
1,"Berapa umur Yakub ketika dia pergi ke Mesir untuk bertemu Yusuf?","130 tahun","100 tahun","75 tahun","40 tahun","A","Genesis 47:9"
1,"Siapa dua anak Yusuf yang diberkati oleh Yakub?","Manasye dan Efraim","Ishak dan Ismael","Dan dan Naphtali","Gad dan Asyer","A","Genesis 48:5"
1,"Apa yang Yakub lakukan terhadap Manasye dan Efraim?","Menamakan mereka","Mengorbankan mereka","Memberkati mereka","Menghantar mereka ke Kanaan","C","Genesis 48:14-20"
